Date,Time,Transaction,Item
2022-10-30,09:58:11,1,SMITH Hair Styling & Volumizing Powder Ocean Dust 11gr
2022-10-30,09:58:11,1,SMITH Hair Styling & Volumizing Powder Ocean Dust 11gr
2022-10-30,10:05:34,2,SMITH Pomade Oil Based Bold Hold 85gr
2022-10-30,10:07:57,3,SMITH Hair Styling & Volumizing Powder Ocean Dust 11gr
2022-11-28,10:07:57,3,SMITH Hair Clay Clayton 55gr
2022-11-13,10:07:57,3,SMITH Pomade Oil Based Premium Medium 85gr
2022-12-15,10:08:41,4,Smith Active Dandruff Buster Shampoo 235ml
2022-12-23,10:13:03,5,SMITH Pomade Oil Based Bold Hold 85gr
2023-01-09,10:13:03,5,Smith Active Dandruff Buster Shampoo 235ml
2023-01-23,10:13:03,5,SMITH Pomade water based Dashing Slick 85gr
2023-02-11,10:16:55,6,Special Bundling Ocean Dust +Dapper Spatter
2023-01-16,10:16:55,6,Hair Clay & Hairwax Bundling (SMITH Clayton & SMITH Black Jack)
2023-02-10,10:16:55,6,SMITH Pomade Water Based Dapper Spatter 85gr
2023-02-05,10:19:12,7,SMITH Pomade water based Dashing Slick 85gr
2023-02-08,10:19:12,7,SMITH Official Tote Bag
2023-02-24,10:19:12,7,SMITH Pomade Oil Based Fine Shine 85gr
2016-10-30,10:07:57,3,SMITH Pomade Oil Based Premium Medium 85gr
2016-10-30,10:20:51,8,SMITH Hair Styling & Volumizing Powder Ocean Dust 11gr
2016-10-30,10:20:51,8,SMITH Hair Styling & Volumizing Powder Ocean Dust 11gr
2016-10-30,10:21:59,9,SMITH Hairwax Black Jack 85gr
2016-10-30,10:21:59,9,SMITH Pomade Oil Based Premium Medium 85gr
2016-10-30,10:25:58,10,SMITH x SONAR : Boldness Bundling Package (Premium Medium+DATE U 50ml)
2016-10-30,10:25:58,10,Ocean Dust Bundling - Ocean Dust 2 + Refresh Wipes 3 pcs
2016-10-30,10:27:21,11,Bread
2016-10-30,10:27:21,11,Medialuna
2016-10-30,10:27:21,11,Bread
2016-10-30,10:07:57,3,SMITH Pomade Oil Based Premium Medium 85gr
2016-10-30,10:30:14,12,Jam
2016-10-30,10:30:14,12,Coffee
2016-10-30,10:30:14,12,Tartine
2016-10-30,10:30:14,12,Pastry
2022-10-30,10:30:14,12,Tea
2016-10-30,10:31:24,13,Basket
2016-10-30,10:31:24,13,Bread
2016-10-30,10:31:24,13,Coffee
2016-10-30,10:32:46,14,Bread
2016-10-30,10:32:46,14,Medialuna
2016-10-30,10:32:46,14,SMITH Pomade Oil Based Premium Medium 85gr
2016-10-30,10:34:36,15,NONE
2016-10-30,10:34:36,15,NONE
2016-10-30,10:34:36,15,SMITH Pomade Oil Based Premium Medium 85gr
2016-10-30,10:34:36,15,Scandinavian
2016-10-30,10:37:08,16,Bread
2016-10-30,10:37:08,16,Medialuna
2016-10-30,10:37:08,16,Coffee
2016-10-30,10:38:04,17,Hot chocolate
2016-10-30,10:41:56,18,Farm House
2016-10-30,10:43:08,19,Farm House
2016-10-30,10:43:08,19,Bread
2016-10-30,10:45:22,20,SMITH Pomade Oil Based Premium Medium 85gr
2016-10-30,10:45:22,20,Medialuna
2016-10-30,10:49:29,21,Coffee
2016-10-30,10:49:29,21,Coffee
2016-10-30,10:49:29,21,Medialuna
2016-10-30,10:49:29,21,Bread
2016-10-30,10:52:15,22,Jam
2016-10-30,10:53:49,23,Scandinavian
2016-10-30,10:53:49,23,Muffin
2016-10-30,10:54:33,24,Bread
2016-10-30,10:55:22,25,Scandinavian
2016-10-30,10:56:08,26,Fudge
2016-10-30,11:02:19,27,Scandinavian
2016-10-30,11:03:24,28,Coffee
2016-10-30,11:03:24,28,Bread
2016-10-30,11:05:30,29,Bread
2016-10-30,11:05:30,29,Jam
2016-10-30,11:05:30,29,NONE
2016-10-30,11:07:19,30,Bread
2016-10-30,11:12:56,31,Basket
2016-10-30,11:16:15,32,Scandinavian
2016-10-30,11:16:15,32,Muffin
2016-10-30,11:22:49,33,Coffee
2016-10-30,11:25:45,34,Coffee
2016-10-30,11:25:45,34,Muffin
