Transaction;Item;date_time;period_day;weekday_weekend
1;Hair Clay & Hairwax Bundling ;30/10/2022 09:58;morning;weekend
2;Ocean Dust Bundling & Ocean Dust & Refresh Wipes;30/10/2022 10:05;morning;weekend
2;Ocean Dust Bundling & Ocean Dust & Refresh Wipes;30/10/2022 10:05;morning;weekend
3;Dandruff Buster Shampoo ;30/10/2022 10:07;morning;weekend
3;Ocean Dust & Dapper Statter;30/10/2022 10:07;morning;weekend
3;Ocean Dust & Hair Clay;30/10/2022 10:07;morning;weekend
4;Ocean Dust & Hair Clay;30/10/2022 10:08;morning;weekend
5;Pomade Oil Based Fine Shinee;30/10/2022 10:13;morning;weekend
5;Ocean Dust & Clayton;30/10/2022 10:13;morning;weekend
5;Hair Clay & Hairwax Bundling ;30/10/2022 10:13;morning;weekend
6;Ocean Dust & Pomade Dapper Stater;30/10/2022 10:16;morning;weekend
6;Ocean Dust & Clayton;30/10/2022 10:16;morning;weekend
6;Ocean Dust & Hair ClayTote Bag;30/10/2022 10:16;morning;weekend
7;Ocean Dust & Pomade Dapper Stater;30/10/2022 10:19;morning;weekend
7;Ocean Dust & Clayton;30/10/2022 10:19;morning;weekend
7;Pomade Oil Based Fine Shinee;30/10/2022 10:19;morning;weekend
7;Shampoo & Face Cleanser & Body Cleanser;30/10/2022 10:19;morning;weekend
8;Ocean Dust & Clayton;30/10/2022 10:20;morning;weekend
8;Hair Clay & Hairwax Bundling ;30/10/2022 10:20;morning;weekend
9;Hair Clay & Hairwax Bundling ;30/10/2022 10:21;morning;weekend
9;Ocean Dust & Hair ClayTote Bag;30/10/2022 10:21;morning;weekend
10;Ocean Dust Bundling & Ocean Dust & Refresh Wipes;30/10/2022 10:25;morning;weekend
10;Ocean Dust & Pomade Dapper Stater;30/10/2022 10:25;morning;weekend
11;Hair Clay & Hairwax Bundling ;30/10/2022 10:27;morning;weekend
11;Ocean Dust & Pomade Dapper Stater;30/10/2022 10:27;morning;weekend
11;Hair Clay & Hairwax Bundling ;30/10/2022 10:27;morning;weekend
12;Ocean Dust & Dapper Statter;30/10/2022 10:30;morning;weekend
12;Pomade Oil Based Fine Shinee;30/10/2022 10:30;morning;weekend
12;Refresh Wipes;30/10/2022 10:30;morning;weekend
12;Ocean Dust & Clayton;30/10/2022 10:30;morning;weekend
12;Shampoo & Face Cleanser & Body Cleanser;30/10/2022 10:30;morning;weekend
13;Pomade Oil Based Premium Medium;30/10/2022 10:31;morning;weekend
13;Hair Clay & Hairwax Bundling ;30/10/2022 10:31;morning;weekend
13;Pomade Oil Based Fine Shinee;30/10/2022 10:31;morning;weekend
14;Hair Clay & Hairwax Bundling ;30/10/2022 10:32;morning;weekend
14;Ocean Dust & Pomade Dapper Stater;30/10/2022 10:32;morning;weekend
14;Ocean Dust & Clayton;30/10/2022 10:32;morning;weekend
15;Pomade Water Based Dashing Slick;30/10/2022 10:34;morning;weekend
15;Ocean Dust Bundling & Ocean Dust & Refresh Wipes;30/10/2022 10:34;morning;weekend
16;Hair Clay & Hairwax Bundling ;30/10/2022 10:37;morning;weekend
16;Ocean Dust & Pomade Dapper Stater;30/10/2022 10:37;morning;weekend
16;Pomade Oil Based Fine Shinee;30/10/2022 10:37;morning;weekend
17;Dandruff Buster Shampoo ;30/10/2022 10:38;morning;weekend
18;Pomade Water Based Dashing Slick;30/10/2022 10:41;morning;weekend
19;Pomade Water Based Dashing Slick;30/10/2022 10:43;morning;weekend
19;Hair Clay & Hairwax Bundling ;30/10/2022 10:43;morning;weekend
20;Hair Clay & Hairwax Bundling ;30/10/2022 10:45;morning;weekend
20;Ocean Dust & Pomade Dapper Stater;30/10/2022 10:45;morning;weekend
21;Pomade Oil Based Fine Shinee;30/10/2022 10:49;morning;weekend
21;Pomade Oil Based Fine Shinee;30/10/2022 10:49;morning;weekend
21;Ocean Dust & Pomade Dapper Stater;30/10/2022 10:49;morning;weekend
21;Hair Clay & Hairwax Bundling ;30/10/2022 10:49;morning;weekend
22;Ocean Dust & Dapper Statter;30/10/2022 10:52;morning;weekend
23;Ocean Dust Bundling & Ocean Dust & Refresh Wipes;30/10/2022 10:53;morning;weekend
23;Ocean Dust & Hair ClayTote Bag;30/10/2022 10:53;morning;weekend
24;Hair Clay & Hairwax Bundling ;30/10/2022 10:54;morning;weekend
25;Ocean Dust Bundling & Ocean Dust & Refresh Wipes;30/10/2022 10:55;morning;weekend
